F1,R,P
0.7590567,0.75612974,0.7620064
0.7497418,0.7512831,0.74820673
0.7753236,0.7725769,0.7780899
0.79110855,0.79247046,0.7897513
0.79077,0.81489664,0.76803094
0.79077,0.81489664,0.76803094
0.7929607,0.8048631,0.78140527
0.78354704,0.797444,0.77012604
0.7973999,0.8019523,0.79289895
0.82302886,0.8312099,0.8150073
0.78658557,0.78538597,0.7877888
0.7875819,0.7839212,0.7912771
0.799722,0.81257427,0.78727007
0.8131708,0.84426755,0.78428346
0.80592716,0.8250027,0.78771377
0.7744174,0.78412145,0.7649506
0.809824,0.81760114,0.8021934
0.80017936,0.8143131,0.7865278
0.80294293,0.8115125,0.7945525
0.78649884,0.78594995,0.7870485
0.78476363,0.7888179,0.7807508
0.81933695,0.8319716,0.8070803
0.79465455,0.7924342,0.7968874
0.77624357,0.7832296,0.7693812
0.7780947,0.77767956,0.77851033
0.80120134,0.8101593,0.79243916
0.8092395,0.8280567,0.79125863
0.7663819,0.7602755,0.77258736
0.76446575,0.7746484,0.75454724
0.76190704,0.7423892,0.7824789
0.7778182,0.772963,0.78273475
0.7787233,0.7796567,0.77779216
0.77679014,0.7733552,0.78025585
0.79100955,0.7972216,0.7848935
0.80231345,0.82688296,0.7791619
0.7884374,0.8000199,0.7771857
0.79369,0.8056977,0.782035
0.7925875,0.80186003,0.78352696
0.8144669,0.8195482,0.80944824
0.7823366,0.77969474,0.7849965
0.7472111,0.7467346,0.7476882
0.7837124,0.7856196,0.78181434
0.7901889,0.7955284,0.78492063
0.7804694,0.7804189,0.78051996
0.7733979,0.7694913,0.77734447
0.77798134,0.78596073,0.77016234
0.7957447,0.8000826,0.7914536
0.7780851,0.78715944,0.76921767
0.783164,0.79056776,0.7758977
0.7778046,0.77483857,0.78079355
0.7959092,0.7963699,0.7954491
0.7862725,0.78628325,0.7862618
0.76701194,0.7684207,0.7656083
0.78382325,0.7911141,0.77666557
0.7752013,0.7725531,0.77786785
0.78230554,0.7824847,0.7821263
0.7823915,0.7877415,0.7771137
0.8094282,0.82228285,0.7969692
0.7765374,0.7928623,0.76087123
0.7982965,0.8128503,0.78425455
0.76046276,0.7664353,0.7545825
0.79731476,0.8079102,0.7869937
0.7748959,0.7795255,0.7703211
0.7726517,0.77207816,0.77322596
0.76486903,0.77726525,0.7528619
0.81940967,0.8398696,0.7999228
0.7776798,0.776145,0.77922076
0.79410285,0.8011122,0.7872151
0.77987814,0.77398574,0.7858609
0.7745884,0.7715636,0.77763706
0.7977202,0.8012764,0.7941955
0.7825674,0.77934194,0.7858196
0.78310674,0.7776517,0.7886388
0.7551152,0.74754417,0.7628413
0.75495774,0.74195385,0.7684256
0.7808627,0.7765585,0.78521496
0.81168264,0.8261215,0.7977398
0.7750601,0.76944375,0.7807591
0.7816946,0.7867372,0.7767162
0.78159255,0.78468823,0.7785212
0.7874344,0.7881312,0.78673893
0.79401433,0.8184198,0.77102226
0.806321,0.8202632,0.79284483
0.7813742,0.7788728,0.7838918
0.78706527,0.7922143,0.7819828
0.7975059,0.8075905,0.78766996
0.80731654,0.8223688,0.7928053
0.80755925,0.818737,0.79668266
0.7787214,0.7727233,0.78481346
0.77288085,0.77886665,0.76698637
0.7828246,0.8012753,0.76520437
0.78954256,0.7889087,0.7901775
0.7720094,0.7944887,0.75076705
0.76256585,0.77651954,0.7491048
0.7715299,0.7632863,0.77995354
0.7646817,0.7734654,0.75609535
0.7869696,0.7888983,0.78505033
0.7978907,0.80573547,0.79019725
0.7937162,0.7971152,0.790346
0.77674645,0.77758855,0.77590615
0.7938227,0.80989593,0.7783751
0.7556664,0.75113994,0.76024777
0.7863513,0.7917249,0.78105
0.762127,0.7597175,0.7645518
0.7983,0.802132,0.7945045
0.77584743,0.7775356,0.7741666
0.7744153,0.7733183,0.77551544
0.7813031,0.7814072,0.78119904
0.80575484,0.8131189,0.798523
0.762205,0.7742675,0.7505126
0.78114086,0.7818537,0.78042936
0.77544534,0.7803145,0.7706365
0.7970549,0.80212003,0.79205334
0.7681623,0.772107,0.7642576
0.80403423,0.81775874,0.7907628
0.7745582,0.76701593,0.7822503
0.7846761,0.79048955,0.7789475
