F1,R,P
0.82698065,0.81939626,0.8347066
0.8263706,0.82697976,0.82576233
0.8263706,0.82697976,0.82576233
0.812744,0.8239414,0.801847
0.8006248,0.79938376,0.8018696
0.83006984,0.832119,0.8280308
0.8373523,0.8451068,0.8297388
0.811238,0.8036046,0.8190179
0.8394641,0.8598539,0.820019
0.82697225,0.8331334,0.8209015
0.8289721,0.83082193,0.82713056
0.8207135,0.8202305,0.82119715
0.7814231,0.7905623,0.77249277
0.8236044,0.8323204,0.8150691
0.8215571,0.8276116,0.81559044
0.83327156,0.8281828,0.83842325
0.83169603,0.82792115,0.8355055
0.8171434,0.8309795,0.80376047
0.8273012,0.8364314,0.8183682
0.8167055,0.8204596,0.8129856
0.82402754,0.82948154,0.8186448
0.82886994,0.83375156,0.8240451
0.8226975,0.82668847,0.8187449
0.83274746,0.8532198,0.8132345
0.81985635,0.8273484,0.8124987
0.8303158,0.8372577,0.8234881
0.8258945,0.82648796,0.8253018
0.8146877,0.82198,0.8075237
0.81150407,0.8037785,0.81937957
0.80475265,0.81515884,0.7946088
0.82999784,0.82683665,0.8331834
0.82403845,0.82451695,0.8235605
0.8274836,0.8253149,0.8296637
0.8200343,0.81273663,0.8274642
0.8285666,0.83117807,0.8259716
0.8220916,0.82436025,0.8198354
0.83263934,0.83651376,0.8288007
0.813931,0.81275165,0.81511384
0.8174341,0.81612796,0.8187443
0.81714284,0.8219422,0.8123991
0.81811625,0.8110982,0.8252569
0.80053717,0.7976431,0.8034523
0.80036896,0.794524,0.8063004
0.810458,0.8191929,0.8019074
0.81898755,0.81123894,0.82688564
0.834254,0.8331352,0.8353759
0.8206815,0.8314225,0.8102145
0.82115084,0.8244724,0.81785595
0.81743896,0.8264694,0.80860376
0.819762,0.8230742,0.81647635
0.8377666,0.84616995,0.82952857
0.8183596,0.8238116,0.81297934
0.81149197,0.8189062,0.80421084
0.80869436,0.8035522,0.8139026
0.8281261,0.82463837,0.83164334
0.8213798,0.83167136,0.8113399
0.8213111,0.82601684,0.81665874
0.8335768,0.830688,0.8364858
0.82426757,0.8331906,0.8155336
0.816613,0.82603234,0.807406
0.8126564,0.81981045,0.8056261
0.8109572,0.8243654,0.7979783
0.841086,0.84465516,0.8375468
0.81240183,0.81660604,0.80824083
0.8077274,0.82341063,0.7926305
0.8217172,0.8309537,0.81268376
0.8231629,0.8343211,0.8122994
0.8092056,0.8066483,0.811779
0.8184874,0.81982946,0.8171498
0.82554305,0.8343031,0.816965
0.8217522,0.8241766,0.819342
0.8318321,0.83743167,0.826307
0.82324964,0.83029824,0.8163197
0.8209961,0.82331795,0.8186873
0.81953645,0.82170653,0.8173778
0.8126359,0.81813127,0.8072138
0.8104448,0.8184903,0.8025558
0.82862043,0.82996696,0.82727826
0.8171263,0.8148079,0.8194578
0.82347125,0.8224734,0.8244716
0.8196554,0.8207166,0.818597
0.8188788,0.82090515,0.8168626
0.801232,0.80044144,0.8020242
0.82464784,0.8343072,0.8152096
0.81433207,0.8200378,0.80870533
0.8084588,0.81808907,0.7990525
0.81614405,0.8307225,0.8020684
0.8186519,0.81821424,0.81909007
0.83339936,0.886813,0.7860545
0.8360593,0.84042346,0.83174014
0.8523425,0.9046951,0.80571747
0.80741715,0.80669826,0.80813736
0.81986505,0.8213469,0.8183886
0.8042403,0.81453615,0.7942014
0.818433,0.8322248,0.8050908
0.82436174,0.81869817,0.8301042
0.8151207,0.824933,0.80553913
0.8253028,0.8270472,0.8235657
0.8097257,0.80609,0.8133943
0.82741374,0.83481705,0.82014054
0.8238269,0.8198585,0.82783395
0.80792075,0.8062727,0.8095756
0.8226411,0.8198909,0.82540977
0.8230382,0.833375,0.81295484
0.8199239,0.8316466,0.808527
0.8391371,0.8470175,0.83140194
0.8266291,0.8376577,0.81588703
0.8148754,0.8230208,0.80688965
0.83334297,0.8469195,0.82019496
0.7999661,0.80801594,0.79207504
0.8452975,0.86561275,0.825914
0.8382896,0.8499382,0.82695615
0.82765007,0.84508485,0.8109201
0.82378155,0.82100385,0.82657814
0.8297232,0.8337728,0.82571274
0.84307706,0.8456572,0.8405125
0.79338384,0.8168832,0.7711987
0.8323852,0.85080075,0.81474996
0.82233816,0.8236927,0.82098806
0.81705743,0.8388039,0.7964101
0.8293766,0.85975873,0.8010684
0.8266476,0.8374535,0.81611705
0.81824446,0.8359142,0.80130637
0.8286347,0.8502933,0.80805194
0.8390181,0.8432567,0.83482176
0.82783365,0.84163904,0.81447375
0.8233475,0.823783,0.8229126
0.83800447,0.8468093,0.82938087
0.8186426,0.816641,0.82065415
0.79386526,0.8196316,0.7696696
0.82487816,0.8405724,0.8097593
0.83582044,0.84416234,0.8276417
0.8149191,0.81207025,0.817788
0.83090484,0.83791405,0.8240118
0.821317,0.83011514,0.81270343
0.81891716,0.81958675,0.81824857
0.8171838,0.82238746,0.8120456
0.8475679,0.8482304,0.84690654
0.81763935,0.8235121,0.81184983
0.8287646,0.8474446,0.8108904
0.8180664,0.8268812,0.80943763
0.8180664,0.8268812,0.80943763
0.82665724,0.8345822,0.8188813
0.8285692,0.8354212,0.8218286
0.82448006,0.8560284,0.7951744
0.82386667,0.83485687,0.8131621
0.8706958,0.8783366,0.8631867
0.8236384,0.83454156,0.81301653
0.82784134,0.82740635,0.82827675
0.80685717,0.79915243,0.8147118
0.81312406,0.80750096,0.8188259
0.8182011,0.81505704,0.8213695
0.8054707,0.815179,0.7959909
0.8150013,0.82102257,0.80906785
0.80545837,0.80909634,0.80185294
0.8300949,0.8273987,0.8328087
0.836055,0.8394942,0.83264375
0.835816,0.84105444,0.8306425
0.82340294,0.82992786,0.8169797
0.82192606,0.82776105,0.8161729
0.829888,0.830739,0.8290388
0.812936,0.81767607,0.8082506
0.8121119,0.8216953,0.8027496
0.80858463,0.8235382,0.7941645
0.83327913,0.83969927,0.82695633
0.81559545,0.82692444,0.8045726
0.82044643,0.82776845,0.8132528
0.83102214,0.8420614,0.8202686
0.81866616,0.81674993,0.82059133
0.8281835,0.827833,0.82853425
0.8347905,0.85672253,0.8139533
0.81964004,0.816538,0.8227657
0.8173482,0.8310309,0.8041086
0.8167665,0.82419205,0.8094737
0.8332941,0.8534397,0.8140777
0.81821436,0.82451946,0.8120049
0.8500967,0.85455155,0.8456881
0.84745044,0.85028106,0.84463865
0.8127773,0.81209606,0.8134597
0.8247939,0.8298988,0.8197514
0.8155566,0.81902647,0.8121161
0.8337678,0.8517755,0.8165057
0.81913716,0.8282043,0.81026644
0.82629997,0.83583546,0.81697947
0.8303057,0.8364006,0.824299
0.82650995,0.83005935,0.82299066
0.8084852,0.818645,0.79857457
0.82345086,0.8265829,0.8203424
0.819643,0.8345566,0.80525315
0.8102202,0.81681836,0.80372775
0.83974683,0.84260345,0.83690935
0.8156782,0.81648177,0.8148762
0.80240124,0.81485987,0.79031795
0.7886004,0.7884877,0.78871316
0.8224141,0.82887256,0.81605554
0.8234288,0.82117885,0.8256912
0.81281596,0.81052375,0.8151212
0.8234566,0.8272011,0.8197458
0.81614745,0.8278057,0.80481297
0.8331148,0.83881587,0.82749075
0.80582124,0.80690426,0.8047411
0.79598266,0.79569155,0.79627395
0.82295036,0.8212638,0.82464397
0.80332875,0.81237525,0.7944816
0.82191205,0.8265715,0.81730485
0.8189325,0.8328585,0.80546445
0.8333066,0.8502754,0.81700194
0.83191526,0.8328725,0.83096015
0.82439804,0.82370645,0.82509077
0.8293124,0.84029746,0.81861085
0.82743627,0.83099717,0.8239056
0.8043494,0.8165088,0.7925468
0.802059,0.80702674,0.7971519
0.81693166,0.8117582,0.82217133
0.8267806,0.82598543,0.82757735
0.8393198,0.83905256,0.8395872
0.8209459,0.8244833,0.8174387
0.82108235,0.8214395,0.82072556
0.83546996,0.83324397,0.83770806
0.808547,0.81104964,0.8060597
0.82705647,0.82894176,0.8251798
0.8267246,0.83444935,0.8191415
0.79908234,0.79958606,0.7985792
0.8396709,0.84804404,0.8314614
0.8244435,0.8398968,0.80954874
0.8123061,0.8109333,0.81368357
0.82467294,0.8283288,0.8210492
0.8180108,0.8218443,0.81421304
0.83605987,0.83695346,0.83516824
0.83482707,0.85777384,0.813076
0.8305359,0.8347727,0.82634187
0.82360786,0.8342473,0.8132365
0.8237739,0.8402559,0.80792606
0.8107717,0.8122497,0.80929905
0.8285542,0.83388937,0.8232868
0.83920985,0.86617655,0.81387156
0.83871126,0.8626053,0.81610525
0.8276979,0.8409104,0.8148942
0.8434259,0.8518891,0.8351293
0.81706077,0.8400406,0.7953048
0.8025853,0.8151845,0.79036975
0.81708586,0.82338667,0.8108808
0.8067047,0.8092865,0.8041393
0.8067047,0.8092865,0.8041393
0.79625434,0.8177667,0.77584475
0.81412137,0.810875,0.81739384
0.803463,0.8224385,0.78534335
0.8207434,0.8264768,0.8150889
0.8356774,0.83731014,0.834051
0.80288774,0.8165791,0.78964794
0.83889717,0.8575667,0.82102317
0.8551025,0.8554434,0.85476184
0.8167974,0.8185916,0.815011
0.8129083,0.83177656,0.79487705
0.8145716,0.81517464,0.8139695
0.82789356,0.83081365,0.82499385
0.82196504,0.82910186,0.8149501
0.8023453,0.81189203,0.7930205
0.8219102,0.82180107,0.82201946
0.8093346,0.8150705,0.8036787
0.83900607,0.8445151,0.8335684
0.8294506,0.83212245,0.82679576
0.8267825,0.8285795,0.8249933
0.81135666,0.807857,0.8148867
0.8017546,0.8033785,0.8001373
0.8048179,0.8076489,0.8020067
0.8245888,0.83516264,0.8142793
0.8100691,0.8147936,0.80539906
0.81966996,0.83748627,0.80259603
0.8193703,0.8367728,0.80267686
0.8116849,0.81841105,0.8050685
0.8322356,0.85835016,0.8076632
0.8290006,0.8344032,0.8236675
0.8275436,0.83032686,0.824779
0.8115204,0.8135015,0.80954885
0.8340475,0.8381714,0.8299639
0.8339145,0.8350725,0.83275974
0.82841784,0.84692866,0.81069875
0.8334883,0.8411944,0.8259222
0.8297177,0.84868455,0.81158006
0.8450343,0.84695154,0.84312564
0.82078123,0.8204198,0.8211431
0.8133325,0.8128335,0.8138323
0.8052711,0.80585533,0.8046877
0.8235345,0.83054537,0.816641
0.81618804,0.8255038,0.8070801
0.8216917,0.8276424,0.815826
0.80774003,0.8168359,0.79884446
0.80755794,0.81137854,0.80377316
0.8338386,0.83970535,0.8280532
0.82065094,0.8411135,0.80116034
0.82207435,0.82812357,0.8161129
0.8098474,0.8253467,0.7949195
0.8305396,0.8390447,0.8222052
0.8161111,0.8129811,0.8192652
0.81353086,0.8181163,0.8089965
0.8084942,0.81617635,0.8009553
0.82211643,0.82369405,0.82054484
0.821228,0.85390353,0.790961
0.8152467,0.82075155,0.8098151
0.83154434,0.8437379,0.8196982
0.79970753,0.7987187,0.8006988
0.82026225,0.8236444,0.81690776
0.8305634,0.835453,0.8257308
0.7983759,0.7946269,0.8021605
0.8073926,0.81192577,0.80290973
0.8367453,0.8367582,0.8367325
0.831,0.8327443,0.829263
0.8015186,0.80637884,0.7967166
0.80676395,0.8089342,0.8046054
0.8185866,0.8298513,0.8076237
0.80392236,0.808167,0.79972214
0.81223893,0.8138262,0.8106577
0.81836236,0.8305573,0.80652046
0.8388748,0.84146166,0.8363039
0.8384842,0.846327,0.8307855
0.8018671,0.8034936,0.80024713
0.8289125,0.83764815,0.8203571
0.81508166,0.82093227,0.8093137
0.8256084,0.82918954,0.82205814
0.82970834,0.8403381,0.8193441
0.8088528,0.8119278,0.8058011
0.8036239,0.8494002,0.7625293
0.83547634,0.8404294,0.8305813
0.8141194,0.824398,0.80409396
0.82211643,0.82110596,0.82312936
0.80922186,0.82133824,0.7974579
0.8243731,0.8315318,0.81733674
0.8024306,0.8181682,0.787287
0.82167387,0.8320166,0.81158525
0.8132495,0.8142328,0.8122685
0.827517,0.8245445,0.83051085
0.8142407,0.81462866,0.813853
0.82721657,0.8251649,0.82927835
0.8167498,0.81786,0.8156427
0.81477183,0.8087014,0.8209342
0.8312048,0.8364215,0.8260528
0.818601,0.819921,0.8172853
0.81817585,0.82274884,0.81365335
0.81078196,0.8005834,0.8212437
0.83126926,0.84076744,0.82198346
0.8336667,0.8330114,0.8343231
